Name,ID,ownerID,coOwnerID,sex,pedigree,pedigreeNo,fatherID,motherID,link,tattoo,chip,dob,breederID,cobreederID,color
Stenveyz Rock Never Die,1,1,,male,,,2,3,,ABD 596,,27.10.2015,2,,black
Flatterhaft Dynacraft On Line,2,2,6,male,,,,,,,,,3,,liver
Almanza This Is Happiness,3,2,6,female,,,,,,,,,4,5,black
Bersifjor Vialete,4,7,,male,RKF,4252604,5,6,,BSR 3,,07.08.2016,8,,black
Toffedreams Sniper,5,9,,male,,,,,,,,,,,black
Bersifjor Aina Voittaa For Blyuz,6,10,,female,,,,,,,,,8,,black
Altaflats Bubble Trouble,7,11,,male,,,,,,,,06.07.2015,,,black
Flatham's Vajjen Del Soddern,8,12,,male,RKF,4218935,,,,,,26.02.2015,,,black
Stenveyz Come As You Are,9,13,,male,RKF,3959328,2,,,ABD 526,,12.06.2014,2,,liver
Stenveyz Bonfire Heart,10,14,,male,RKF,4054792,2,,,ABD 529,,07.09.2014,2,,liver
Banana Split Malmesbury Optinus Canis,11,15,,male,RKF,4250232,,,,,,13.05.2014,,,liver
Evalaiz Elliot,12,16,,male,RKF,3873354,2,,,DDV 2866,,14.03.2014,,,black
Stenveyz Repeat Oneself,13,14,,female,,,2,3,,ABD 596,,27.10.2015,2,,black
Bersifjor Vallefiorita,14,12,,female,,,5,6,,BSR 8,,07.08.2016,8,,black
Valneriz Now Or Never,15,17,,female,RKF,4183969,,,,RIZ 93,,21.03.2015,,,black
Всегда Рядом Вот Такая Удача,16,18,,female,RKF,4142272,,,,RAY 173,,11.01.2015,,,black
Talliar Shikary Victoria For Fillari,17,19,,female,RKF,4084554,2,3,,TAN 204,,28.10.2014,6,,black
Stenveyz Busy Firefly,18,20,,female,RKF,4054798,2,,,ABD 535,,07.09.2014,2,,liver
Radost' Iz Istry Forever And Ever,19,21,,female,RKF,2844514,,,,RIS 251,,19.07.2010,,,black
Malet Park Beautiful Baby,20,22,,female,RKF,4065548,,,,LLI 157,,08.09.2014,,,black
Lusso Angelo Principessa Del Regno Flat,21,21,,female,RKF,3457237,,,,LUS 229,,14.12.2012,,,black
Bersifjor Valenzano,22,23,,male,RKF,4252603,5,6,,BSR 2,,07.08.2016,8,,black
Talliar Shikary Valentino,23,24,,male,RKF,4084553,2,3,,TAN 203,,28.10.2014,6,,black
Stenveyz Break The Firewall,24,25,,male,RKF,4054794,2,,,ABD 531,,07.09.2014,2,,liver
Bersifjor Villarosa,25,25,,female,RKF,4252607,5,6,,BSR 6,,07.08.2016,8,,black
Talliar Shikary Veni Vidi Vici,26,26,,female,RKF,4084555,2,3,,TAN 205,,28.10.2014,6,,black
